status,gender,province,birthPlace,deathDate,deathCause,actor
0,0,7,Deir Baalba,2012,5,5
0,0,7,Houla,2012,11,5
0,0,0,Hretan,2012,10,5
0,0,7,Deir Baalba,2012,10,5
0,0,5,Latamna,2012,11,5
0,0,5,Latamna,2012,11,5
0,2,7,Rastan,2012,11,5
1,0,7,Qosair: Eastern Buaida,2012,10,5
1,0,7,Qusair: Eastern Bwaida,2012,10,5
0,2,2,Serghaya,2012,10,5
1,0,7,Rabe neighborhood,2012,11,5
0,0,3,Daraa AlBalad,2012,11,5
1,0,0,Darat Azza,2012,11,5
0,0,7,Jobar,2012,5,5
0,0,7,Maheen,2012,11,5
0,0,7,Der Baalba,2012,11,5
1,0,7,Bayada,2012,11,5
0,0,7,Jobar,2012,5,5
0,1,7,Rastan,2012,11,5
0,0,7,Rastan,2012,11,5
0,0,7,Sekhnah,2012,11,5
0,0,7,Qaryateen,2012,11,5
0,0,8,Merten,2012,11,5
0,0,7,Baba Amr,2012,10,5
0,0,7,Waar,2012,11,5
0,0,7,Baba Amr,2012,10,5
0,0,7,Bab Draib,2012,11,5
0,0,1,Mazzeh,2012,11,5
0,0,5,Hamidiya,2012,9,5
0,0,2,Douma,2012,11,5
0,0,5,Mugeer,2012,11,5
0,0,2,Serghaya,2012,11,5
1,0,2,Serghaya,2012,11,5
0,0,3,Daeel,2012,11,5
0,0,2,Al-Hamah,2012,11,5
0,0,7,Rastan,2012,10,5
1,0,5,Hamidiya,2012,10,5
0,0,7,Baba Amr,2012,10,5
0,0,5,Al-Hader,2012,11,1
0,0,7,Zafarana,2012,11,5
0,0,7,Al Karyatain,2012,10,5
0,0,5,Mharda: Kernaz,2012,11,5
0,0,7,Baba Amr,2012,2,5
1,0,0,Horyatan,2012,11,5
0,0,7,Baba Amr,2012,2,5
1,0,0,Maskaneh,2013,8,6
